C/N,OM,Temperature,MC,PH,TN,"NH₄⁺-Ng/kg",NO₃⁻-N mg/kg,"EC ms/cm","NH₃g/m²·d","CH₄  g/m²·d","CO₂  g/m²·d","N₂O g/m²·d"
19.38,38.8,43.5,52.9,8.03,1.32,1.37,377,2.27,33,6.31,273,0.31
15.08,36.7,30.5,50.9,7.85,1.48,1.21,386,2.12,12.87,1.63,163,0.119
18.35,50.8,5,72.7,7.88,1.86,1.65,351,2.03,5.7,2.08,14.4,0.176
27.58,46.2,51,67.5,7.7,1.55,1.86,338,2.62,88.9,16.06,186,1.58
24.64,71.2,53.5,58.1,7.98,0.94,1.47,352,2.82,85.8,11.64,371,1.62
19.36,38.6,42,53.5,8.11,1.39,1.26,386,2.31,30,6.53,271,0.324
14.88,36,30.5,51.6,7.9,1.63,1.13,393,2.03,11.92,2.56,158,0.118
32.90008429,84.1817132,56.9636,61.5,2.5,14.7869,3.34661,54.7945,3.12209,0.653581178,0.098992,93.0481,0.00808399
35.45650198,83.0042212,54.6525,59.2,4.22566,13.5082,4.46215,70.7763,3.20349,11.93022228,0.0999469,98.3957,0.0123097
29.30902769,81.2172952,47.1862,57.9,3.73894,16.0164,1.57371,57.0776,3.12791,3.429143377,0.0897613,182.888,0.0132283
29.7643731,78.9045492,39.3927,56.3,8.20796,15.2787,2.76892,98.1735,3.23837,1.818242558,0.0146419,79.1444,0.00385827
26.48323297,76.1923524,47.4696,54.9,6.39381,16.5738,0.916335,114.155,3.36047,0.478484336,0.0222812,86.631,0.0626509
21.56366539,74.5945492,33.0162,53.2,6.70354,19.9672,0.139442,98.1735,3.55233,0,0.0130504,54.5455,0.00790026
18.69985362,72.7022868,13.6032,52.1,4.82301,22.4098,0.159363,141.553,3.8314,0,0.00604775,24.5989,0.00808399
17.79928747,72.4921312,17.2874,50.2,4.84513,23.2951,0.159363,328.767,3.94767,0,0.00541114,20.3209,0.00826772
17.48953791,71.5670328,17.996,63.1,7.4115,23.377,0.378486,358.447,3.12209,0,0.00668435,21.3904,0.0194751
32.64983154,84.0134508,55.83,60.5,2.85398,14.8525,3.30677,73.0594,3.06395,0,0.104085,134.759,0.00955381
34.4872089,82.3946148,56.9636,59.7,4.04867,13.8033,4.14343,54.7945,3.4186,10.28743013,0.0993103,185.027,0.0113911
30.38957241,81.0910984,49.17,58.2,3.78319,15.3934,1.39442,84.4749,3.09302,3.046353828,0.0576127,95.1872,0.014147
30.88548437,78.6731884,36.9838,55.9,8.20796,14.6885,2.19124,86.758,3.23837,2.162750552,0.00891247,78.0749,0.00385827
25.45517318,75.8980656,48.3198,54.2,6.79204,17.1967,0.657371,98.1735,3.63953,0.271139997,0.0152785,98.3957,0.0584252
22.40258684,74.5945492,32.166,52.8,6.9469,19.2295,0.139442,84.4749,3.76163,0,0.010504,33.1551,0.00698163
19.71440859,72.9336476,14.0283,52.1,5.06637,21.3607,0.159363,98.1735,3.93605,0,0.00604775,17.1123,0.00624672
18.88332273,72.7443524,17.2874,51.2,4.95575,22.0164,0.159363,328.767,4.01744,0,0.00541114,20.3209,0.00790026
17.68232702,71.2306804,20.1215,50.7,7.0354,22.9508,0.318725,415.525,3.0407,0,0.00668435,33.1551,0.0172703
33.04104234,84.1817132,54.413,59.8,2.5,14.7213,3.24701,57.0776,3.21512,0.298453139,0.104721,144.385,0.00808399
35.13080055,83.1514508,57.5304,57.6,4.33628,13.6721,4.20319,57.0776,3.1686,11.67502925,0.0881698,229.947,0.0119423
29.17975183,80.5864836,47.753,56.8,3.47345,15.9508,1.53386,68.4932,3.27326,3.397244248,0.0553846,97.3262,0.0134121
34.45587206,79.4932952,34.4332,55.4,8.20796,13.3115,2.07171,70.7763,3.26744,2.073432991,0.00891247,70.5882,0.00385827
27.04763715,76.7600656,45.3441,54.7,6.15044,16.377,0.438247,84.4749,3.47093,0.35088782,0.0197347,57.754,0.0608136
23.81263404,75.6667048,29.7571,54.2,6.46018,18.3607,0.139442,70.7763,3.77326,0,0.0120955,32.0856,0.00790026
20.25058846,73.8377132,14.0283,53.6,4.86726,21.0492,0.159363,100.457,4.15698,0,0.013687,62.0321,0.00532808
18.93775422,73.648418,17.2874,52.8,4.57965,22.2131,0.159363,344.749,4.11628,0,0.00541114,21.3904,0.0067979
17.74049026,72.618328,17.996,52.2,7.0354,23.3279,0.258964,415.525,3.11047,0,0.00668435,22.4599,0.0183727
33.65344986,84.4129016,55.83,60.8,1.70354,14.5082,3.22709,41.0959,2.88953,1.422072014,0.100584,104.813,0.00808399
35.01505646,83.4878032,56.9636,58.3,3.62832,13.7869,4.16335,43.379,3.25581,11.19654231,0.0833952,214.973,0.0119423
30.31280333,82.0161968,47.753,56.7,3.38496,15.6393,1.53386,54.7945,3.11628,2.583816457,0.0557029,118.717,0.0119423
31.04503886,79.5351884,41.2348,54.8,7.98673,14.8033,2.21116,57.0776,3.16279,1.706595606,0.00891247,124.064,0.00385827
26.48003875,77.7061968,48.3198,53.4,6.15044,16.9508,0.916335,70.7763,3.43023,0.287089562,0.0165517,18.1818,0.0551181
24.04945684,76.4868116,33.2996,52.1,6.06195,18.377,0.139442,70.7763,3.53488,0,0.010504,32.0856,0.0067979
20.26924451,74.5945492,14.0283,51.4,5,21.2623,0.159363,84.4749,3.69186,0,0.00604775,17.1123,0.00496063
18.74233686,74.2581968,17.2874,50.3,4.42478,22.6393,0.159363,342.466,3.80814,0,0.00541114,21.3904,0.00753281
17.9533101,73.5222212,20.1215,49.5,7.83186,23.2951,0.239044,458.904,3.12209,0,0.00668435,31.016,0.0174541
34.56002166,85.3169672,56.9636,62.5,2.30088,14.2623,3.32669,57.0776,2.89535,0,0.0951724,128.342,0.00808399
34.94640599,84.4129016,54.5547,61.4,3.65044,13.9836,4.36255,27.3973,3.30814,10.54259717,0.082122,164.706,0.0124934
32.15086376,82.2473852,49.4534,59.6,3.56195,14.7541,1.59363,84.4749,3.3314,2.823059925,0.0537931,108.021,0.00937008
34.03237908,79.7665492,39.3927,57.3,7.78761,13.5246,2.23108,70.7763,3.06977,1.57899909,0.00891247,98.3957,0.00385827
26.83265803,78.2737376,47.4696,55.8,5.81858,16.8361,0.438247,84.4749,3.31395,0.17544443,0.0213263,67.3797,0.0532808
23.7459806,77.0543524,33.0162,54.8,6.10619,18.7377,0.139442,84.4749,3.66279,0,0.00923077,42.7807,0.00643045
20.54771539,75.4355164,14.0283,53.2,4.55752,21.1967,0.159363,98.1735,3.57558,0,0.00604775,19.2513,0.00440945
18.63459952,75.2462212,16.8623,52.7,4.38053,23.082,0.159363,340.183,3.81977,0,0.00541114,21.3904,0.0067979
18.12366259,74.510418,17.996,50.8,7.5885,23.3607,0.239044,486.301,2.84884,0,0.00668435,21.3904,0.0163517
34.79254559,85.3169672,51.2955,60.8,1.50442,14.1803,3.22709,43.379,2.6686,0,0.0938992,176.471,0.00808399
36.82476651,84.370836,54.5547,60.1,3.0531,13.2623,4.32271,27.3973,3.08721,10.54259717,0.0776658,151.872,0.0135958
33.53783749,82.9831884,50.1619,59.1,3.5177,14.2951,1.49402,57.0776,3.12791,2.823059925,0.0471088,158.289,0.00955381
32.0775914,79.8086148,39.3927,57.6,7.98673,14.3607,2.27092,70.7763,2.89535,1.57899909,0.00891247,87.7005,0.00385827
27.10382467,78.6942212,46.6194,56.4,5.70796,16.7705,0.438247,70.7763,3.36047,0.17544443,0.013687,68.4492,0.0505249
22.65150336,77.6641312,30.8907,55.2,6.0177,19.8033,0.139442,84.4749,3.47093,0,0.00795756,25.6684,0.00532808
20.17573221,76.129254,14.7368,52.4,4.71239,21.7705,0.159363,116.438,3.82558,0,0.00604775,17.1123,0.00863517
18.92365921,75.8770328,17.5709,50.6,4.42478,22.9016,0.159363,356.164,3.66279,0,0.00541114,20.3209,0.00716535
18.5680324,75.2251884,17.996,49.2,8.20796,22.9836,0.199203,515.982,2.87791,0,0.00668435,21.3904,0.0163517
29.163,85.1899,54.0046,65.10 ,7.58804,16.8302,1.90141,168.509,1.98498,0.457031,0.0374806,277.647,3.71424
34.0622,83.5443,64.3765,64.38 ,9.19269,14.2264,4.43662,136.448,1.49898,1.64063,1.79763,428.235,3.79688
30.4866,82.5316,63.6663,61.44 ,8.71429,15.7736,0.528169,117.649,1.06212,0.36406,0.095642,301.176,3.67969
26.4803,77.3418,50.7867,59.76 ,8.90365,18.9057,0.253521,151.108,1.22048,0.0351563,0.0431914,143.529,3.69141
21.9497,71.8987,45.7283,64.71 ,9.12292,20.1132,0.71831,119.783,1.24232,0.19375,0.379685,72.9412,3.70313
20.3032,69.3671,38.8481,61.19 ,9.06312,20.9434,0.422535,185.616,1.5372,0,0.0494012,30.5882,3.87891
19.1812,68.1013,29.4241,60.97 ,8.75415,21.4717,0.147887,393.875,1.52628,0,0.0154136,35.2941,6.30469
17.273,65.3165,27.454,58.25 ,8.31561,21.7736,0.169014,1184.92,1.31877,0,0.037037,23.5294,3.79688
29.5998,84.3038,55.6405,66.2,7.63787,16.4906,1.98592,168.509,1.95222,0.492188,0.0189621,270.588,3.70313
33.5377,81.0127,65.2862,67.19,9.13289,14,4.03521,168.84,1.58089,1.38281,1.70498,428.235,3.78516
29.6125,77.9747,64.3936,67.16,8.60465,15.283,0.485915,137.055,1.09488,0.421875,0.058605,312.941,3.69141
26.1309,75.8228,51.5145,66.27,8.83389,18.7547,0.211268,125.209,1.20956,0.0234375,0.0617099,190.588,3.67969
21.7744,69.6203,44.8182,64.65,8.98339,20.4906,0.65493,152.194,1.28055,0.0820313,0.287092,77.6471,3.69141
19.9535,67.3418,38.6663,65.37,8.99336,20.6415,0.274648,230.939,1.56997,0,0.0308827,35.2941,3.79688
19.0064,66.0759,29.0604,65.53,8.70432,21.3585,0.126761,361.538,1.68464,0,0.0339321,37.6471,5.71875
17.535,63.5443,26.9086,66.44,8.34551,21.434,0.147887,1223.77,1.34061,0,0.016597,18.8235,3.76172
28.5513,82.5316,58.3678,64.82 ,7.71761,16.1132,1.94366,155.541,1.87577,0.445313,0.0559991,265.882,3.69141
35.0237,79.3671,65.8316,64.98 ,9.03322,13.434,3.33803,155.891,1.67918,1.07813,1.42726,411.765,3.80859
32.2346,76.2025,63.3027,63.99 ,8.68439,14.1132,0.464789,150.023,1.14403,0.363281,0.0771235,320,3.69141
25.3439,72.6582,49.1519,64.97 ,8.73422,18.7547,0.126761,138.14,1.25324,0.0125963,0.0802284,221.176,3.72656
21.6872,65.5696,40.6364,61.58 ,8.93355,19.6604,0.549296,216.923,1.4116,0.0956359,0.1945,87.0588,3.67969
19.6036,63.6709,37.939,55.47 ,8.96346,20,0.105634,250.382,1.65734,0,0.0123642,42.3529,3.76172
18.2197,60.8861,29.9695,57.18 ,8.78405,20.6038,0.190141,257.942,1.71741,0,0.0339321,40,4.59375
17.0977,60.7595,26.5455,55.61 ,8.42525,20.9057,0.105634,1359.72,1.37338,0,0.0185185,21.1765,3.73828
27.5896,80,60.9132,60.03 ,7.80731,15.283,1.92254,168.472,1.76109,0.257813,0.037536,258.824,3.70313
33.013,76.5823,66.7407,63.95 ,9.06312,13.5472,2.72535,155.854,1.66826,0.960938,0.797627,418.824,3.82031
29.6997,73.7975,62.5754,61.25 ,8.54485,14.3774,0.338028,143.567,1.23686,0.28125,0.04009 ,308.23500 ,3.70313 
24.6444,67.3418,50.4241,60.52 ,8.77409,17.9245,0.316901,131.702,1.18771,0.0351563,0.02467 ,183.52900 ,3.71484 
21.3373,62.5316,47.1818,60.27 ,8.86379,19.0566,0.485915,132.751,1.2041,0.0703125,0.32413 ,94.11760 ,3.69141 
19.3417,59.8734,39.3941,59.66 ,8.98339,19.434,0.211268,276.281,1.55904,0,0.03094 ,47.05880 ,3.72656 
17.6082,58.481,28.6968,57.32 ,8.87375,19.8491,0.084507,303.247,1.63549,0,0.01541 ,42.35290 ,4.13672 
16.7485,57.0886,26.1818,54.85 ,8.46512,20.1132,0.126761,1553.96,1.42253,0,0.01569 ,28.23530 ,3.72656 
38.75682858,90.51,53.427,70.1057,6.25237,1.3546,46.9663,600.815,3.65161,0.484262857,0.0321428571 ,127.5240000000 ,0.1676562857 
36.75198893,87.924,57.9213,69.29,6.21451,1.38768,46.5449,482.609,4.32258,0.484262857,0.5840657143 ,378.2428571429 ,0.4526714286 
35.15063542,85.1656,47.9494,67.2508,6.66877,1.40538,50.8989,372.554,3.90968,46.48914286,0.9568971429 ,412.0228571429 ,0.5141457143 
41.16652944,81.89,49.9157,66.1631,8.23975,1.15385,49.2135,376.63,4.03871,12.10654286,0.0898560000 ,535.1171428571 ,0.7041571429 
52.90294703,78.0972,62.4157,64.5317,8.52366,0.856285,51.0393,380.707,5.12258,62.954,1.3137942857 ,807.0571428571 ,1.2406571429 
42.93154225,73.7872,51.6011,64.6677,8.95899,0.996936,49.6348,435.054,5.56129,63.68028571,1.0400000000 ,949.3400000000 ,1.2965428571 
34.92016378,68.96,48.5112,63.4441,9.18612,1.14547,51.1798,490.761,4.76129,31.47685714,0.0336960000 ,853.4057142857 ,1.0506457143 
33.68717596,68.4428,45.1404,63.3082,9.12934,1.17849,54.8315,520.652,4.8129,42.85714286,0.0449280000 ,631.9485714286 ,0.7991628571 
32.66669992,67.7532,46.1236,61.8127,9.28076,1.20306,44.5787,541.033,4.45161,25.42374286,0.0449280000 ,610.5028571429 ,0.7488657143 
31.96362079,66.8912,44.8596,60.997,9.12934,1.21388,54.691,522.011,4.21935,29.54,0.0224640286 ,478.3085714286 ,0.5756200000 
31.65103297,66.374,45.1404,61.4048,9.28076,1.21639,48.6517,485.326,4.09032,21.54962857,0.0112320000 ,461.0371428571 ,0.5532657143 
30.98027004,66.8912,45.7022,59.0937,9.01577,1.25241,44.8596,409.239,2.64516,15.25422857,0.0224640286 ,345.5828571429 ,0.4023742857 
27.04134479,58.9608,47.2472,57.4622,9.12934,1.26473,45.9831,349.457,2.72258,18.40194286,0.0112320000 ,281.2608571429 ,0.3241342857 
31.27117643,86.7172,42.191,69.8338,6.00631,1.60851,8.05391,467.663,4.58065,2.905571429,0.2134082857 ,114.7622857143 ,0.1788334286 
29.50796359,85.8552,42.4719,66.8429,5.58991,1.68768,6.01617,430.978,4.8129,1.452785714,0.1909442857 ,276.1651428571 ,0.3520771429 
27.78075183,84.9932,49.073,65.0755,5.79811,1.77461,3.91375,397.011,5.22581,4.116228571,1.3029142857 ,165.3002857143 ,0.2067760000 
27.51952817,84.3036,48.5112,62.9003,6.06309,1.77692,2.87871,459.511,5.66452,2.663437143,0.0561600000 ,326.6942857143 ,0.4079628571 
27.26241343,83.2692,49.9157,58.4139,5.62776,1.77167,1.84367,530.163,7.13548,2.421308571,0.0224640286 ,139.2617142857 ,0.1788334286 
26.82337752,83.0968,50.7584,59.3656,5.76025,1.79694,1.81132,489.402,6.51613,3.389828571,0.0449280000 ,173.0497142857 ,0.1955991429 
26.3390383,82.752,47.809,58.9577,6.11987,1.82239,1.81132,450,6.67097,19.12834286,0.0112320000 ,296.1457142857 ,0.3520771429 
21.13896949,80.5108,46.9663,57.0544,6.74448,2.20919,2.10243,488.043,6.74839,37.53028571,0.0112320000 ,329.9342857143 ,0.4023742857 
18.41072807,78.9592,45.5618,55.1511,7.61514,2.48768,2.32884,513.859,6.49032,56.65857143,0.0112320000 ,691.3342857143 ,0.8494600000 
18.75135958,74.3044,45.8427,53.2477,8.67508,2.2985,1.6496,451.359,5.92258,53.99514286,0.5054400000 ,367.7085714286 ,0.4470828571 
21.12052677,70.3392,45.7022,52.0242,8.80757,1.93177,0.84097,367.12,6.10323,44.06771429,0.5279057143 ,337.6685714286 ,0.4079628571 
20.3984388,65.6844,48.5112,50.3927,8.86435,1.86779,0.226415,296.467,3.36774,32.92971429,0.0645257143 ,332.8228571429 ,0.4917914286 
23.66923822,64.4776,48.3708,48.2175,8.97792,1.58011,0.25876,356.25,3.44516,23.97094286,0.0898560000 ,213.1994285714 ,0.2403074286 
25.43750502,87.4068,46.9663,66.7069,5.62776,1.99312,0.420485,482.609,5.04516,20.0302,0.1909442857 ,67.9702857143 ,0.0950051429 
27.56425188,85.6828,46.5449,65.0755,5.24921,1.80306,1.0027,452.717,4.89032,19.79714286,0.2808002857 ,106.0045714286 ,0.1285365714 
30.29259897,83.4416,50.8989,64.6677,5.26814,1.59775,1.52022,425.543,5.35484,19.21451429,0.4268171429 ,110.0005714286 ,0.1397137143 
34.36208787,84.3036,49.2135,64.5317,5.30599,1.42308,2.23181,414.674,6.3871,18.90374286,0.0786240000 ,114.0042857143 ,0.1341251429 
40.14622364,84.8208,51.0393,62.6284,5.26814,1.22552,2.91105,405.163,7.26452,18.43762857,0.0449280000 ,62.7002857143 ,0.0726511429 
29.89480996,83.0968,49.6348,63.1722,5.30599,1.61232,2.74933,422.826,7.10968,18.47648571,0.3594257143 ,147.5191428571 ,0.2123645714 
22.90250423,81.3728,51.1798,62.4924,5.43849,2.06091,2.5876,444.565,7.1871,18.12688571,0.0224640286 ,228.0917142857 ,0.2682500000 
19.42696561,82.2348,54.8315,61.9486,5.70347,2.45535,4.14016,501.63,6.82581,18.08805714,0.0336960000 ,206.5648571429 ,0.2626614286 
17.62033512,82.5796,44.5787,60.3172,5.94953,2.71845,5.14286,538.315,7.13548,17.66077143,0.0336960000 ,321.2514285714 ,0.3967857143 
17.97232185,80.5108,54.691,59.7734,7.44479,2.59844,7.85984,492.12,7.10968,17.42771429,0.1684802857 ,299.6485714286 ,0.3576657143 
19.75310795,78.0972,48.6517,57.0544,8.25868,2.29331,10.027,417.391,8.96774,17.54422857,0.8985600000 ,694.9885714286 ,0.8438714286 
24.29448135,72.7528,44.8596,56.1027,8.6183,1.73702,4.81941,441.848,3.44516,16.88391429,0.0112320000 ,392.3685714286 ,0.4191400000 
20.86934853,69.3048,45.9831,54.3353,8.92114,1.92627,0.743935,517.935,3.29032,16.41777143,0.0449280000 ,302.5371428571 ,0.3576657143 
15,62.8398,24.1584,63.7391,6.48305,24.3,3.11475,630.189,1.87931,1.04642,0.58950144,230.68512,0.35716464
17.84,64.587936,41.1844,60.087,6.76083,21,7.1083,655.869,2.18737,0.404232,0,216.468,0.69046992
17.5127,49.93286521,48.7727,56.6957,7.40718,16.5385,5.52808,515.483,2.16209,0.251462,0.55703232,420.37344,0.40879872
17.2839,53.40625614,51.4498,52.7826,8.01505,17.9231,5.48694,529.616,2.88335,0.469829,1.11813408,445.968,0.52283088
17.4746,52.83685411,55.3887,50.1739,8.07575,17.5385,5.31321,577.57,3.04089,0.755498,1.6238016,648.65376,0.77489856
18.5042,54.39576273,57.8945,43.1304,8.35353,17.0513,4.06062,459.826,3.78564,0.788384,1.9428768,742.84704,1.18757232
18.1229,57.76118509,60.399,40.7826,8.14819,18.4872,3.13613,421.327,3.67991,1.02384,1.8835488,775.61712,1.2827664
16.6737,60.21799928,59.0815,29.5652,8.56538,20.9487,1.94768,261.932,3.34378,1.30972,2.3905728,896.75856,1.5358464
16.0254,64.67748429,57.585,26.4348,8.5248,23.4103,1.57891,208.169,3.47875,1.81497,2.6001216,970.07616,2.0268864
16.3305,66.34185344,50.0883,22,8.43296,23.5641,1.63469,210.812,3.64777,2.2863,3.2409936,1043.1432,2.1598992
16.5212,65.72889304,48.5905,20.6957,8.22713,23.0769,1.33124,266.455,3.6449,2.30213,3.802104,1109.68704,2.670768
16.9407,68.97058653,49.9882,19.1304,8.19892,23.6154,1.15728,201.145,3.73338,2.31772,4.6593072,1182.70512,2.823624
16.4831,66.45170072,34.8588,17.0435,8.15744,23.3846,1.27696,180.977,3.76388,2.16415,4.5416448,1159.8264,2.3403744
15.6441,66.45783262,38.2265,16,8.07677,24.641,1.2296,258.526,3.55173,1.70674,3.31272,986.1552,1.4584032
16.3686,65.62831984,35.0305,12.3478,8.12191,23.2564,1.34092,203.406,3.53338,0.404614,2.0252592,449.72496,1.8235008
15,67.236,24.1584,63.4783,6.48305,26,3.11475,630.189,1.87931,0.506334,0,173.3256,0.29763792
15.8,61.95174691,39.0062,63.7391,6.46839,22.7436,6.64929,852.095,1.99197,0.437952,0.50837472,223.86096,0.8095248
15.8729,48.83591143,45.5041,60.6087,7.73769,17.8462,6.57726,606.049,2.21948,0.352728,0.55703232,427.1976,0.62706672
15.3771,45.2032016,50.5422,55.1304,8.01505,17.0513,4.5689,503.201,2.92933,1.11118,1.0099656,473.26752,0.99905184
15.4534,54.03488447,55.0257,52.7826,8.17745,20.2821,7.50969,637.92,2.87997,1.12681,1.5156288,682.82784,1.33048944
15.339,44.20954366,56.2596,46.5217,8.3916,16.7179,3.37209,373.034,3.92357,1.227,1.699488,749.6712,1.72332
15.2246,54.58081155,58.2208,43.1304,8.07192,20.7949,4.41482,451.516,4.30051,1.14198,1.612944,761.9688,1.8582048
11.9449,52.80253079,57.4491,35.5652,8.46368,25.641,2.17719,337.375,3.65404,1.29284,2.2283136,848.98512,1.9128528
13.5085,58.63966634,57.585,31.1304,8.24514,25.1795,2.89014,264.745,4.03039,1.93312,3.0057552,970.12656,2.1062448
13.5085,56.31080094,57.528,23.8261,8.33127,24.1795,1.43773,214.557,4.00401,2.45504,3.7548,1077.26688,2.2194144
13.7754,59.85906167,52.7654,22.7826,8.2272,25.2051,1.59354,266.455,4.01254,2.69028,2.8556208,1096.03728,3.20652
13.7754,59.67643348,53.2555,20.9565,8.08451,25.1282,1.32121,280.39,4.05513,2.33463,4.0102992,1148.58144,4.1927616
13.7373,59.38988608,36.1294,17.5652,8.09388,25.0769,1.27696,313.024,3.98227,2.89007,4.0821264,1098.40464,3.4118784
13.1271,58.49284641,42.0372,16.7826,7.96237,25.8462,1.52468,318.875,3.94254,1.4367,2.3121648,911.08368,2.2521024
13.7754,59.12831142,35.3935,12.8696,7.93116,24.8974,1.60297,290.199,4.01606,0.421492,2.1063888,517.97232,2.2401936
23.4367,28.6084,41.6387,56.1825,7.9256,7.3466,906.563,55.4779,1.57447,7.08833,1.81924,140.731,1.81924
22.3873,27.5883,62.7561,53.2961,7.78175,6.62998,1230.48,71.1422,1.80259,76.3933,12.688,367.363,12.688
23.4652,25.4973,67.1881,47.0577,7.59325,6.20843,1173.41,64.4289,1.60025,165.982,12.0816,477.023,12.0816
21.5844,25.0893,67.9702,43.3333,7.43452,6.02576,1306.93,74.3124,1.83849,107.141,13.8076,601.305,13.8076
22.1211,25.1403,61.1918,37.7467,7.49405,5.87119,1311.92,65.9207,1.2797,83.64,12.035,456.919,12.035
19.5533,25.3698,60.4097,34.1155,7.93056,6.53162,1068.89,62.0047,1.20132,61.0995,5.69096,248.564,5.69096
16.5164,25.1148,45.9404,17.4488,7.84623,8.00703,1379.88,62.5641,1.33581,36.2042,3.31195,210.183,3.31195
16.8351,23.6357,36.5549,16.3315,7.81647,7.7822,853.194,71.3287,1.19802,16.4921,1.58601,164.491,1.58601
24.5191,29.3479,44.3762,55.5307,7.74702,6.91101,1021.8,65.5478,1.74774,15.57,1.30612,179.112,1.30612
21.7738,26.3898,63.5382,50.7821,7.87103,7.05152,1500.84,55.8508,2.06003,50.4784,9.65598,301.567,9.65598
21.7333,24.9362,67.4488,45.7542,7.76687,6.8829,1182.27,47.6457,1.74876,123.101,11.1487,341.775,11.1487
20.1411,23.9417,61.9739,45.7542,7.81647,6.92506,1373.41,55.2914,2.00681,85.464,11.4752,572.063,11.4752
20.1004,24.0947,60.4097,40.1676,7.90079,6.96721,1648.76,50.6294,2.2599,85.996,10.2157,524.543,10.2157
16.6667,23.9927,54.8045,30.4842,7.38492,8.25995,1383.58,58.8345,1.69637,53.5589,3.17201,179.112,3.17201
16.6246,24.0182,47.2439,16.3315,7.14683,7.51522,1508.41,77.669,1.54868,17.356,3.68513,122.454,3.68513
15.1753,21.4681,36.0335,13.5382,6.8244,7.2904,1101.39,78.6014,1.56435,18.3782,1.63265,115.144,1.63265
25.69433327,71.6345,21.4285,65.2584,8.66201,1.61714,3.02128,209.193,3.54206,0,0.0140351,0,0.000514019
26.75585948,72.837,41.7041,63.6589,8.27526,1.57905,1.53931,525.336,2.31075,28.94364,1.39649,40.18,0.0017757
28.51892178,72.0173,50.3749,62.4452,8.22489,1.46476,0.979432,596.637,2.23364,55.07802,1.43158,36.95,0.0107944
23.05347662,64.1205,50.0357,61.3587,8.17955,1.61333,0.260279,482.287,2.15187,31.22874,1.65614,30.54,0.00088785
19.92816143,61.514,37.4643,60.5942,8.15762,1.79048,0.0446777,321.525,2.10748,0,1.92982,33.78,0.00168224
19.34089701,59.5742,27.5714,60.2544,8.57676,1.78667,0.027658,347.758,2.23598,0,0.0140351,20.36,0.000186916
20.01261488,58.8172,26.4286,60.0597,7.83162,1.70476,0.0141817,569.058,2.49299,0,0.00701754,4.68,9.34579E-05
30.55284199,75.5485,23.6607,68.7227,8.66201,1.43429,3.02128,107.623,2.15187,0,0.0210526,0,0.000373832
32.74374368,72.9015,43.7577,61.8014 ,8.27526,1.29143,1.53931,349.776,1.91822,40.0185,1.3614,24.93,0.000514019
31.26477089,72.7915,50.9107,54.9291 ,8.22489,1.35048,0.979432,320.179,1.80841,26.4606,1.44561,22.65,0.00878505
23.02300274,68.5721,38.7857,51.5912 ,8.17955,1.72762,0.260279,248.206,1.66822,9.07572,1.73333,20.52,0.00607477
20.12844475,65.9657,33.2679,54.4383 ,8.15762,1.90095,0.0446777,172.197,1.62617,0,1.83158,23.96,0.000934579
19.74121084,63.7893,27.8393,53.6037 ,8.57676,1.87429,0.027658,259.641,1.78972,0,0.0350877,12.54,0.000140187
